Model,Acc_2,F1_score,Acc_7,MAE,Loss
dmd,"(83.38, 0.0)","(83.45, 0.0)","(45.04, 0.0)","(73.68, 0.0)","(73.65, 0.0)"
dmd,"(83.54, 0.0)","(83.57, 0.0)","(45.63, 0.0)","(71.57, 0.0)","(71.66, 0.0)"
